# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeAvgNs,1699361242470000000,1699361302520000000,1.63053568E8
FlushQueue.tasksExecuted,1699361242470000000,1699361302520000000,0
FlushQueue.waitingTime90PNs,1699361242470000000,1699361302520000000,0
NonBlockingReadAction.finalizedExecutionsCount,1699361242470000000,1699361302520000000,7
FlushQueue.queueSizeAvg,1699361242470000000,1699361302520000000,0.0
FlushQueue.executionTimeAvgNs,1699361242470000000,1699361302520000000,0.0
AWTEventQueue.dispatchTime90PNs,1699361242470000000,1699361302520000000,163577855
FlushQueue.executionTime90PNs,1699361242470000000,1699361302520000000,0
FlushQueue.waitingTimeMaxNs,1699361242470000000,1699361302520000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1699361242470000000,1699361302520000000,290366
FlushQueue.queueSize90P,1699361242470000000,1699361302520000000,0
AWTEventQueue.dispatchTimeMaxNs,1699361242470000000,1699361302520000000,163577855
AWTEventQueue.eventsDispatched,1699361242470000000,1699361302520000000,1
FlushQueue.executionTimeMaxNs,1699361242470000000,1699361302520000000,0
NonBlockingReadAction.failedExecutionsCount,1699361242470000000,1699361302520000000,0
FlushQueue.waitingTimeAvgNs,1699361242470000000,1699361302520000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1699361242470000000,1699361302520000000,0
FlushQueue.queueSizeMax,1699361242470000000,1699361302520000000,0
FilePageCache.totalPageDisposalsUs,1699361242470000000,1699361302520000000,2932
StorageLockContext.competingThreads.avg,1699361242470000000,1699361302520000000,0.3069306930693069
FilePageCache.disposedBuffers,1699361242470000000,1699361302520000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1699361242470000000,1699361302520000000,0
FilePageCache.capacityInBytes,1699361242470000000,1699361302520000000,524288000
DirectByteBufferAllocator.reclaimed,1699361242470000000,1699361302520000000,0
StorageLockContext.competingThreads.max,1699361242470000000,1699361302520000000,4
FilePageCache.maxCacheSizeInBytes,1699361242470000000,1699361302520000000,244350976
FilePageCache.pageHits,1699361242470000000,1699361302520000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1699361242470000000,1699361302520000000,0
StorageLockContext.competingThreads.90P,1699361242470000000,1699361302520000000,1
FilePageCache.pageFastCacheHits,1699361242470000000,1699361302520000000,15861
FilePageCache.maxRegisteredFiles,1699361242470000000,1699361302520000000,836
DirectByteBufferAllocator.hits,1699361242470000000,1699361302520000000,0
FilePageCache.uncachedFileAccess,1699361242470000000,1699361302520000000,265
DirectByteBufferAllocator.disposed,1699361242470000000,1699361302520000000,3
DirectByteBufferAllocator.misses,1699361242470000000,1699361302520000000,231
FilePageCache.pageLoads,1699361242470000000,1699361302520000000,231
FilePageCache.totalPageLoadsUs,1699361242470000000,1699361302520000000,1951432
FileNameCache.fastMisses,1699361302520000000,1699361332804000000,12
FileNameCache.queries,1699361302520000000,1699361332804000000,312
FileNameCache.totalMisses,1699361302520000000,1699361332804000000,12
NonBlockingReadAction.finalizedExecutionsCount,1699361302520000000,1699361332804000000,8
NonBlockingReadAction.finalizedExecutionTimeUs,1699361302520000000,1699361332804000000,482827
NonBlockingReadAction.failedExecutionsCount,1699361302520000000,1699361332804000000,0
NonBlockingReadAction.failedExecutionTimeUs,1699361302520000000,1699361332804000000,0
FilePageCache.totalPageDisposalsUs,1699361302520000000,1699361332804000000,20
StorageLockContext.competingThreads.avg,1699361302520000000,1699361332804000000,0.1016949152542373
FilePageCache.disposedBuffers,1699361302520000000,1699361332804000000,230
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1699361302520000000,1699361332804000000,0
FilePageCache.capacityInBytes,1699361302520000000,1699361332804000000,524288000
DirectByteBufferAllocator.reclaimed,1699361302520000000,1699361332804000000,0
StorageLockContext.competingThreads.max,1699361302520000000,1699361332804000000,6
FilePageCache.maxCacheSizeInBytes,1699361302520000000,1699361332804000000,245399552
FilePageCache.pageHits,1699361302520000000,1699361332804000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1699361302520000000,1699361332804000000,0
StorageLockContext.competingThreads.90P,1699361302520000000,1699361332804000000,0
FilePageCache.pageFastCacheHits,1699361302520000000,1699361332804000000,410
FilePageCache.maxRegisteredFiles,1699361302520000000,1699361332804000000,836
DirectByteBufferAllocator.hits,1699361302520000000,1699361332804000000,0
FilePageCache.uncachedFileAccess,1699361302520000000,1699361332804000000,0
DirectByteBufferAllocator.disposed,1699361302520000000,1699361332804000000,230
DirectByteBufferAllocator.misses,1699361302520000000,1699361332804000000,2
FilePageCache.pageLoads,1699361302520000000,1699361332804000000,2
FilePageCache.totalPageLoadsUs,1699361302520000000,1699361332804000000,39945
